,City,Cuisines,Cost,Tablebooking,Onlinedelivery,deliverynow,Price_range,rating,rating_color,rating_text,Votes
444,115,18,25,0,0,0,2,4.4,1,5,690
445,115,284,10,0,0,0,1,4.2,1,5,680
446,115,21,10,0,0,0,1,4.1,1,5,287
447,115,271,40,0,0,0,3,4.1,1,5,802
448,115,275,25,0,0,0,2,4.3,1,5,710
449,115,614,10,0,0,0,1,4.3,1,5,456
450,115,1641,70,0,0,0,4,4.0,1,5,687
451,115,481,25,0,0,0,2,4.3,1,5,719
452,115,97,70,0,0,0,4,4.4,1,5,1803
453,115,6,70,0,0,0,4,4.1,1,5,558
454,115,1667,40,0,0,0,3,3.8,5,2,883
455,115,1825,10,0,0,0,1,3.9,5,2,309
456,118,515,300,0,0,0,4,3.4,2,0,34
457,118,102,270,0,0,0,4,4.0,1,5,33
458,118,922,500,0,0,0,4,3.8,5,2,33
459,118,6,80,0,0,0,4,3.1,2,0,34
460,118,916,430,0,0,0,4,3.8,5,2,35
461,118,916,315,0,0,0,4,3.9,5,2,33
462,118,177,20,0,0,0,2,4.2,1,5,29
463,118,1031,100,0,0,0,4,4.1,1,5,35
464,118,1069,50,0,0,0,3,3.2,2,0,29
465,118,80,80,0,0,0,4,3.2,2,0,30
466,118,331,40,0,0,0,3,3.7,5,2,33
467,118,1697,30,0,0,0,3,3.0,2,0,25
468,118,133,220,0,0,0,4,3.8,5,2,30
469,118,577,300,0,0,0,4,3.9,5,2,34
470,118,1696,60,0,0,0,4,3.1,2,0,33
471,118,1821,60,0,0,0,4,3.2,2,0,32
472,118,83,95,0,0,0,4,3.2,2,0,30
473,118,17,50,0,0,0,3,3.8,5,2,28
474,118,895,40,0,0,0,3,3.9,5,2,35
475,118,483,75,0,0,0,4,3.2,2,0,33
476,119,327,40,0,0,0,3,3.7,5,2,100
477,119,90,10,0,0,0,1,3.6,5,2,92
478,119,157,10,0,0,0,1,3.8,5,2,182
479,119,168,10,0,0,0,1,3.6,5,2,76
480,119,1126,40,0,0,0,3,3.7,5,2,129
481,119,121,25,0,0,0,2,3.6,5,2,94
482,119,497,25,0,0,0,2,3.8,5,2,129
483,119,1618,25,0,0,0,2,3.8,5,2,178
484,119,294,10,0,0,0,1,3.7,5,2,97
485,119,48,10,0,0,0,1,3.9,5,2,161
486,119,6,10,0,0,0,1,3.7,5,2,122
487,119,54,10,0,0,0,1,3.8,5,2,195
488,119,98,40,0,0,0,3,3.7,5,2,146
489,119,1212,10,0,0,0,1,3.7,5,2,117
490,119,493,25,0,0,0,2,3.8,5,2,187
491,119,1125,40,0,0,0,3,3.9,5,2,239
492,119,156,10,0,0,0,1,4.0,1,5,303
493,119,1618,40,0,0,0,3,4.0,1,5,280
494,119,1031,25,0,0,0,2,4.0,1,5,271
495,119,98,70,0,0,0,4,3.5,5,2,58
496,124,173,25,0,0,0,2,4.6,0,1,1321
497,124,1168,25,0,0,0,2,4.6,0,1,1629
